省市別,縣市別,選區別,鄉鎮市區,村里別,投開票所,候選人號次,得票數,得票率,當選註記
63,000,01,010,0011,0611,1,33,4.33, 
63,000,01,010,0011,0611,2,396,51.97, 
63,000,01,010,0011,0611,3,333,43.7,*
63,000,01,010,0011,0612,1,29,3.91, 
63,000,01,010,0011,0612,2,343,46.29, 
63,000,01,010,0011,0612,3,369,49.8,*
63,000,01,010,0012,0613,1,51,4.75, 
63,000,01,010,0012,0613,2,698,64.99, 
63,000,01,010,0012,0613,3,325,30.26,*
63,000,01,010,0012,0614,1,53,5.13, 
63,000,01,010,0012,0614,2,415,40.17, 
63,000,01,010,0012,0614,3,565,54.7,*
63,000,01,010,0012,0615,1,58,4.85, 
63,000,01,010,0012,0615,2,545,45.57, 
63,000,01,010,0012,0615,3,593,49.58,*
63,000,01,010,0012,0616,1,38,4.0, 
63,000,01,010,0012,0616,2,675,71.13, 
63,000,01,010,0012,0616,3,236,24.87,*
63,000,01,010,0012,0617,1,57,5.04, 
63,000,01,010,0012,0617,2,681,60.27, 
63,000,01,010,0012,0617,3,392,34.69,*
63,000,01,010,0012,0618,1,51,4.67, 
63,000,01,010,0012,0618,2,552,50.6, 
63,000,01,010,0012,0618,3,488,44.73,*
63,000,01,010,0013,0619,1,38,4.39, 
63,000,01,010,0013,0619,2,357,41.22, 
63,000,01,010,0013,0619,3,471,54.39,*
63,000,01,010,0013,0620,1,41,4.96, 
63,000,01,010,0013,0620,2,284,34.38, 
63,000,01,010,0013,0620,3,501,60.65,*
63,000,01,010,0014,0621,1,37,4.18, 
63,000,01,010,0014,0621,2,374,42.26, 
63,000,01,010,0014,0621,3,474,53.56,*
63,000,01,010,0014,0622,1,39,4.15, 
63,000,01,010,0014,0622,2,386,41.11, 
63,000,01,010,0014,0622,3,514,54.74,*
63,000,01,010,0014,0623,1,37,4.17, 
63,000,01,010,0014,0623,2,371,41.78, 
63,000,01,010,0014,0623,3,480,54.05,*
63,000,01,010,0015,0624,1,43,4.21, 
63,000,01,010,0015,0624,2,517,50.59, 
63,000,01,010,0015,0624,3,462,45.21,*
63,000,01,010,0015,0625,1,40,4.12, 
63,000,01,010,0015,0625,2,494,50.88, 
63,000,01,010,0015,0625,3,437,45.01,*
63,000,01,010,0015,0626,1,52,5.71, 
63,000,01,010,0015,0626,2,325,35.71, 
63,000,01,010,0015,0626,3,533,58.57,*
63,000,01,010,0015,0627,1,39,3.55, 
63,000,01,010,0015,0627,2,500,45.45, 
63,000,01,010,0015,0627,3,561,51.0,*
63,000,01,010,0016,0628,1,38,4.18, 
63,000,01,010,0016,0628,2,422,46.37, 
63,000,01,010,0016,0628,3,450,49.45,*
63,000,01,010,0016,0629,1,35,3.94, 
63,000,01,010,0016,0629,2,346,38.96, 
63,000,01,010,0016,0629,3,507,57.09,*
63,000,01,010,0016,0630,1,36,3.78, 
63,000,01,010,0016,0630,2,366,38.41, 
63,000,01,010,0016,0630,3,551,57.82,*
63,000,01,010,0016,0631,1,36,3.89, 
63,000,01,010,0016,0631,2,356,38.49, 
63,000,01,010,0016,0631,3,533,57.62,*
63,000,01,010,0016,0632,1,32,3.21, 
63,000,01,010,0016,0632,2,394,39.48, 
63,000,01,010,0016,0632,3,572,57.31,*
63,000,01,010,0016,0633,1,46,4.56, 
63,000,01,010,0016,0633,2,382,37.9, 
63,000,01,010,0016,0633,3,580,57.54,*
63,000,01,010,0017,0634,1,54,5.16, 
63,000,01,010,0017,0634,2,531,50.72, 
63,000,01,010,0017,0634,3,462,44.13,*
63,000,01,010,0017,0635,1,50,4.54, 
63,000,01,010,0017,0635,2,539,48.91, 
63,000,01,010,0017,0635,3,513,46.55,*
63,000,01,010,0017,0636,1,45,4.2, 
63,000,01,010,0017,0636,2,585,54.57, 
63,000,01,010,0017,0636,3,442,41.23,*
63,000,01,010,0017,0637,1,36,3.53, 
63,000,01,010,0017,0637,2,420,41.14, 
63,000,01,010,0017,0637,3,565,55.34,*
63,000,01,010,0018,1475,1,60,6.17, 
63,000,01,010,0018,1475,2,378,38.89, 
63,000,01,010,0018,1475,3,534,54.94,*
63,000,01,010,0018,1476,1,34,4.18, 
63,000,01,010,0018,1476,2,262,32.23, 
63,000,01,010,0018,1476,3,517,63.59,*
63,000,01,010,0018,1477,1,38,4.11, 
63,000,01,010,0018,1477,2,308,33.3, 
63,000,01,010,0018,1477,3,579,62.59,*
63,000,01,010,0018,1478,1,53,5.56, 
63,000,01,010,0018,1478,2,350,36.69, 
63,000,01,010,0018,1478,3,551,57.76,*
63,000,01,010,0018,1479,1,53,5.79, 
63,000,01,010,0018,1479,2,352,38.47, 
63,000,01,010,0018,1479,3,510,55.74,*
63,000,01,010,0019,0641,1,41,3.67, 
63,000,01,010,0019,0641,2,469,42.03, 
63,000,01,010,0019,0641,3,606,54.3,*
63,000,01,010,0019,0642,1,35,3.55, 
63,000,01,010,0019,0642,2,403,40.83, 
63,000,01,010,0019,0642,3,549,55.62,*
63,000,01,010,0019,0643,1,46,4.51, 
63,000,01,010,0019,0643,2,397,38.88, 
63,000,01,010,0019,0643,3,578,56.61,*
63,000,01,010,0019,0644,1,59,4.6, 
63,000,01,010,0019,0644,2,499,38.86, 
63,000,01,010,0019,0644,3,726,56.54,*
63,000,01,010,0019,0645,1,56,4.84, 
63,000,01,010,0019,0645,2,419,36.18, 
63,000,01,010,0019,0645,3,683,58.98,*
63,000,01,010,0020,0646,1,47,5.38, 
63,000,01,010,0020,0646,2,558,63.84, 
63,000,01,010,0020,0646,3,269,30.78,*
63,000,01,010,0020,0647,1,30,3.29, 
63,000,01,010,0020,0647,2,417,45.72, 
63,000,01,010,0020,0647,3,465,50.99,*
63,000,01,010,0020,0648,1,41,4.0, 
63,000,01,010,0020,0648,2,451,44.0, 
63,000,01,010,0020,0648,3,533,52.0,*
63,000,01,010,0020,0649,1,34,4.24, 
63,000,01,010,0020,0649,2,397,49.5, 
63,000,01,010,0020,0649,3,371,46.26,*
63,000,01,010,0021,0650,1,39,3.71, 
63,000,01,010,0021,0650,2,763,72.53, 
63,000,01,010,0021,0650,3,250,23.76,*
63,000,01,010,0021,0651,1,47,4.48, 
63,000,01,010,0021,0651,2,631,60.1, 
63,000,01,010,0021,0651,3,372,35.43,*
63,000,01,010,0021,0652,1,61,5.06, 
63,000,01,010,0021,0652,2,721,59.78, 
63,000,01,010,0021,0652,3,424,35.16,*
63,000,01,010,0021,0653,1,43,4.2, 
63,000,01,010,0021,0653,2,643,62.79, 
63,000,01,010,0021,0653,3,338,33.01,*
63,000,01,010,0021,0654,1,45,4.11, 
63,000,01,010,0021,0654,2,632,57.77, 
63,000,01,010,0021,0654,3,417,38.12,*
63,000,01,010,0021,0655,1,55,5.38, 
63,000,01,010,0021,0655,2,590,57.73, 
63,000,01,010,0021,0655,3,377,36.89,*
63,000,01,010,0022,1480,1,38,3.8, 
63,000,01,010,0022,1480,2,388,38.84, 
63,000,01,010,0022,1480,3,573,57.36,*
63,000,01,010,0022,1481,1,44,4.59, 
63,000,01,010,0022,1481,2,432,45.09, 
63,000,01,010,0022,1481,3,482,50.31,*
63,000,01,010,0022,1482,1,33,3.86, 
63,000,01,010,0022,1482,2,364,42.57, 
63,000,01,010,0022,1482,3,458,53.57,*
63,000,01,010,0022,1483,1,39,4.31, 
63,000,01,010,0022,1483,2,444,49.06, 
63,000,01,010,0022,1483,3,422,46.63,*
